tsne_1,tsne_2
-29.02226,-2.26138
-7.1619635,-17.990236
16.364407,2.5915396
-33.860558,-4.5280333
59.60917,11.76426
60.366203,-11.203406
-28.715767,-11.108842
88.184654,3.4914024
-13.632181,-20.525885
-24.706247,-13.245771
39.862568,-16.243895
-40.95058,4.5439672
84.92874,10.205112
58.248795,11.3135
-54.84737,16.39496
-40.663956,12.168783
-26.747932,-27.730303
-35.950615,14.809106
-18.45916,-9.080125
82.1736,15.063196
9.673507,9.599217
-7.4289603,-11.404857
39.47478,-13.194952
-37.795864,4.896235
-33.904522,-17.983644
57.493843,7.737804
-31.302992,-15.110175
59.780018,19.409576
28.47618,-19.088036
-18.938515,-16.05797
-47.716484,23.948166
55.77714,-7.6292696
18.856075,18.66813
20.149326,2.0964446
-35.168938,-13.044811
44.08556,-17.046116
-61.943996,-5.544957
-66.45988,-2.8160033
38.88457,-16.687475
-38.3928,13.166847
57.77631,15.157797
36.988884,-22.077032
-16.476505,-14.963229
28.8513,4.397642
-43.97992,-6.3805165
-53.300987,-18.212442
-18.545292,-3.0243235
58.988667,6.364829
60.81965,1.9380466
-2.728209,8.056833
-30.659409,-1.4478159
-64.038666,5.0394745
69.71313,29.378418
-19.795662,-10.261956
27.74166,-3.2463868
-49.371925,23.526613
-53.060028,25.371393
-37.7961,23.424742
25.198545,-2.2448437
-25.259815,-29.485138
-66.929726,15.57368
-2.8094141,-8.503664
33.523228,-2.658254
31.820168,10.115327
-12.544903,-9.157945
-7.5059576,18.513973
-45.505333,21.428722
60.82843,-14.013528
-35.211292,11.37339
-36.484715,16.966002
-25.899176,-29.60408
-51.34053,2.6280272
20.749083,9.00438
-55.303596,19.000744
-72.41465,-6.081966
-6.1082945,-2.8065407
48.56026,-19.398525
-42.78191,-0.23405218
-18.465115,-18.7631
-1.8899508,-9.939568
15.424519,14.375149
39.944054,-13.42275
-13.424707,-21.086767
-39.388584,-11.886072
-65.652016,-13.288559
-24.072525,-29.772484
59.43576,-16.760103
72.17375,28.012821
-14.351038,7.6606274
-36.26101,-8.485135
33.565525,-26.81698
22.061932,4.511193
65.9957,29.261766
8.344259,-10.994822
-28.752825,-9.638825
70.6594,27.617521
-64.467926,-12.893209
-17.472761,-23.206373
0.75147563,43.571182
0.35298908,10.811206
58.974495,10.624295
-37.133152,12.907036
27.665133,9.844184
46.771755,-22.251402
6.951112,11.8655615
-60.271614,-3.3977487
-49.073845,-17.553137
56.4851,-19.35864
-56.67364,23.906559
39.090572,-23.575455
61.71006,9.928213
31.645317,-5.57628
-39.439766,-4.3586464
-52.284424,15.01279
-41.855434,2.45808
-48.82921,6.265219
57.656662,-17.198788
-7.0735683,-6.2013097
-49.121662,-4.290441
-44.589863,-7.48897
14.562437,6.171207
2.6723752,-12.215767
